district_id,district_name
320,Agar
357,Alirajpur
334,Anuppur
354,Ashoknagar
338,Balaghat
343,Barwani
362,Betul
351,Bhind
312,Bhopal
342,Burhanpur
328,Chhatarpur
337,Chhindwara
327,Damoh
350,Datia
324,Dewas
341,Dhar
336,Dindori
348,Guna
313,Gwalior
361,Harda
360,Hoshangabad
314,Indore
315,Jabalpur
340,Jhabua
353,Katni
339,Khandwa
344,Khargone
335,Mandla
319,Mandsaur
347,Morena
352,Narsinghpur
323,Neemuch
326,Panna
359,Raisen
358,Rajgarh
322,Ratlam
316,Rewa
317,Sagar
333,Satna
356,Sehore
349,Seoni
332,Shahdol
321,Shajapur
346,Sheopur
345,Shivpuri
331,Sidhi
330,Singrauli
325,Tikamgarh
318,Ujjain
329,Umaria
355,Vidisha
