 district_id                   district_name
           9                       Anantapur
          10                        Chittoor
          11                   East Godavari
           5                          Guntur
           4                         Krishna
           7                         Kurnool
          12                        Prakasam
          13     Sri Potti Sriramulu Nellore
          14                      Srikakulam
           8                   Visakhapatnam
          15                    Vizianagaram
          16                   West Godavari
           6 YSR District, Kadapa (Cuddapah)
