 district_id  district_name
          74         Araria
          78          Arwal
          77     Aurangabad
          83          Banka
          98      Begusarai
          82      Bhagalpur
          99        Bhojpur
         100          Buxar
          94      Darbhanga
         105 East Champaran
          79           Gaya
         104      Gopalganj
         107          Jamui
          91      Jehanabad
          80         Kaimur
          75        Katihar
         101       Khagaria
          76     Kishanganj
          84     Lakhisarai
          70      Madhepura
          95      Madhubani
          85         Munger
          86    Muzaffarpur
          90        Nalanda
          92         Nawada
          97          Patna
          73         Purnia
          81         Rohtas
          71        Saharsa
          96     Samastipur
         102          Saran
          93     Sheikhpura
          87        Sheohar
          88      Sitamarhi
         103          Siwan
          72         Supaul
          89       Vaishali
         106 West Champaran
